,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation,,,,,,,,,,,,,,,,type
,,,MAAcPtEsMbiUVcI8ke9r,,distributor,,,,,fr,Saguenay--Lac-Saint-Jean,Lac-Saint-Jean-Est,Métabetchouan-Lac-à-La-Croix,,,,Quebec,Canada,2021-10-05,,,,,,,,,,,,,,,,Grossiste ou vente en gros
,,,rVtFq99gbuUQLhwD9snI,,institution,,,,,fr,Estrie,La Haute-Yamaska,Granby,,,,Quebec,Canada,2021-10-05,,,,,,,,,,,,,,,,Institution
,,,ChhxRe4HSGdDwvRkQY8w,,institution,,,,,fr,Montérégie,Longueuil,Saint-Hubert,,,,Quebec,Canada,2021-10-06,,,,,,,,,,,,,,,,Institution
,,,Rqoz7RosZKSEIjTMsKYC,,restaurant,,,,,fr,Outaouais,,Bouchette,,,,Quebec,Canada,2021-10-06,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,9Rlfz2yJiLsFHzLCYtfH,,restaurant,,,,,fr,Laurentides,Les Laurentides,VAL-MORIN,,,,Quebec,Canada,2021-10-06,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,H2dwYaLceSlNm3LJFe4y,,institution,,,,,fr,Chaudière-Appalaches,Lotbinière,St-Apollinaire,,,,Quebec,Canada,2021-10-06,,,,,,,,,,,,,,,,Institution
,,,ZLC2hmJ7SP5AET8pgVv6,,restaurant,,,,,en,Montérégie,Le Haut-Saint-Laurent,Ormstown,,,,Quebec,Canada,2021-10-06,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,4IBKbfJGG5Z1DEx7CEP2,,restaurant,,,,,fr,Centre-du-Québec,Nicolet-Yamaska,Ste-perpetue,,,,Quebec,Canada,2021-10-07,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,JRtTMNTWVwiCxcB1iDPf,,restaurant,,,,,fr,Bas-Saint-Laurent,Rimouski-Neigette,Rimouski,,,,Quebec,Canada,2021-10-07,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,jY0hO7TC85HG9N86SAgf,,specialized_grocery_store,,,,,fr,Estrie,Le Val-Saint-François,Saint-Denis-de-Brompton,,,,Quebec,Canada,2021-10-07,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,l8P7BkvGTePle2hefLEk,,restaurant,,,,,fr,Estrie,Sherbrooke,Sherbrooke,,,,Quebec,Canada,2021-10-07,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,xpQOAYz6BkyLokCWwlCe,,specialized_grocery_store,,,,,fr,Lanaudière,L'Assomption,repentigny,,,,Quebec,Canada,2021-10-08,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,oQM9V95IdJNxvj1ROp6E,,restaurant,,,,,fr,Montérégie,Roussillon,La Prairie,,,,Quebec,Canada,2021-10-09,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,rVnjYATcGmbwBBHpFFA3,,restaurant,,,,,en,Montréal,Le Sud-Ouest,Montréal,,,,Quebec,Canada,2021-10-09,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,K0fD7say7vumr0lmGINp,,restaurant,,,,,fr,Montérégie,Longueuil,Longueuil,,,,Quebec,Canada,2021-10-12,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,KbgXey0HWgwfE6u691oR,,restaurant,,,,,fr,Bas-Saint-Laurent,Rimouski-Neigette,Rimouski,,,,Quebec,Canada,2021-10-13,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,brhgvXeRUFAZEtrd8UH6,,restaurant,,,,,fr,Laurentides,Les Pays-d'en-Haut,Sainte-Adèle,,,,Quebec,Canada,2021-10-13,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,ZiIVpeCBTjMJSN9oWJvm,,community_organization,,,,,fr,Estrie,Sherbrooke,Sherbrooke,,,,Quebec,Canada,2021-10-13,,,,,,,,,,,,,,,,Organisme communautaire
,,,jlVDYz0tyCXRovfVDHoC,,institution,,,,,fr,Montérégie,Rouville,Marieville,,,,Quebec,Canada,2021-10-14,,,,,,,,,,,,,,,,Institution
,,,lBZpPHOC9BMmZt33tsNK,,institution,,,,,fr,Montérégie,Marguerite-D'Youville,Varenne,,,,Quebec,Canada,2021-10-15,,,,,,,,,,,,,,,,Institution
,,,bBsu65CHFps22otQnD2s,,artisan,,,,,fr,Lanaudière,Matawinie,Saint-Zenon,,,,Quebec,Canada,2021-10-18,,,,,,,,,,,,,,,,Artisan ou transformateur
,,,XZANVDRrM3hdzNmKwBU3,,institution,,,,,fr,Lanaudière,Matawinie,Saint-Félix-de-Valois,,,,Quebec,Canada,2021-10-18,,,,,,,,,,,,,,,,Institution
,,,Lpc6q2xrJYuZnSKwCci7,,institution,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-10-19,,,,,,,,,,,,,,,,Institution
,,,hjFFtGEcWfpLSDDwVjXV,,restaurant,,,,,fr,Montérégie,Longueuil,Saint-Hubert,,,,Quebec,Canada,2021-10-19,,,,,,,,,,,,,,,,Restaurant ou traiteur
,,,tcizyucRAA6dQEcpmuoh,,specialized_grocery_store,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2021-10-19,,,,,,,,,,,,,,,,Petite épicerie ou comptoir
,,,3Q24MDTmIANFaWY0VvrU,,institution,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-10-19,,,,,,,,,,,,,,,,Institution
,,,JNQIWwK6xPeoAEu29l6B,,institution,,,,,fr,Montréal,Ville-Marie,Montréal,,,,Quebec,Canada,2021-10-19,,,,,,,,,,,,,,,,Institution
