,,,unique_id,,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation,vegetable_fruit,meat,processed_product,maple_honey,bread,dairy,wild_product,seafood,oils_and_vinegars,alcohol_free_drink,alcohol_below_18_drink,alcohol_above_18_drink,non_food_products
,,,dh99GL2mSoZevQXLAR1a,,,,,,fr,Centre-du-Québec,L'Érable,Laurierville,,,,Quebec,Canada,2021-05-12,TRUE,,,,,,,,,,,,
,,,wHOn5pFjPlfXRtfHRNBz,,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montreal,,,,Quebec,Canada,2021-05-13,TRUE,,,,,,,,,,,,
,,,oKAnnYm9n0gF348vXaZK,,,,,,fr,Centre-du-Québec,L'Érable,Inverness,,,,Quebec,Canada,2021-05-13,TRUE,TRUE,TRUE,TRUE,,,,,,,,,
,,,Z0wAofufEB9bbqglkSNg,,,,,,fr,Estrie,Sherbrooke,Sherbrooke,,,,Quebec,Canada,2021-05-13,TRUE,,TRUE,,,,,,,,,,
,,,1EI6aRggLphvrJUsCApv,,,,,,fr,Montréal,Ahuntsic-Cartierville,Montreal,,,,Quebec,Canada,2021-05-19,,,TRUE,,,,,,,,,,
,,,u5VX7tM6AYkIXxRZBPaF,,,,,,fr,Outaouais,Gatineau,Chandler,,,,Quebec,Canada,2021-05-26,TRUE,,TRUE,,,,,,,,,,
,,,AL53C6dstvr3orqwhigE,,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montreal,,,,Quebec,Canada,2021-05-26,TRUE,,TRUE,,,,,,,,,,
,,,IznZ9pIUjlb9SWy7m68n,,,,,,fr,Montréal,Rivière-des-Prairies - Pointe-aux-Trembles,Montréal,,,,Quebec,Canada,2021-05-27,TRUE,,TRUE,,,,,,,,,,
,,,6UkZCOhAOVxlTJzyERos,,,,,,fr,Capitale-Nationale,Portneuf,Saint-Basile,,,,Quebec,Canada,2021-05-31,TRUE,,,,,,,,,,,,
,,,HfynLFOJi8LGibVE2ZAK,,,,,,fr,Centre-du-Québec,Arthabaska,Chesterville,,,,Quebec,Canada,2021-05-31,TRUE,,,,,,,,,,,,
,,,Eh9eMKSksoOjQoAXMhAr,,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montreal,,,,Quebec,Canada,2021-05-31,,,,,,,TRUE,,,,,,
,,,tREkEvj0Yd5CXPGwZv5f,,,,,,en,,,Sainte-Anne-De-Bellevue,,,,Quebec,Canada,2021-06-04,TRUE,,,,,,,,,,,,
,,,wr4U0Iz3fRhbKibt4DSB,,,,,,fr,Montérégie,Acton,Wickham,,,,Quebec,Canada,2021-06-08,TRUE,,,,,,,,,,,,
,,,TC2b7T7GO1dA4epxZk0v,,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2021-06-11,,,TRUE,TRUE,,,,,,,,,
,,,7oZRe0B1Pk8wjJEQCqDg,,,,,,fr,Chaudière-Appalaches,Les Appalaches,Disraeli,,,,Quebec,Canada,2021-06-14,TRUE,,,,,,,,,,,,
,,,jBvf2RQNcEuT3PkwCJ73,,,,,,fr,Montérégie,Le Haut-Richelieu,Mont-St-Grégoire,,,,Quebec,Canada,2021-06-14,TRUE,,,,,,,,,,,,
,,,4LYhggsU50gkm6GJrhRp,,,,,,fr,Estrie,Le Val-Saint-François,Lawrenceville,,,,Quebec,Canada,2021-06-14,TRUE,,,,,,,,,,,,
,,,5bfmJqpmAAHRFyEckXDP,,,,,,fr,Centre-du-Québec,Drummond,L'Avenir,,,,Quebec,Canada,2021-06-15,TRUE,,,,,,,,,,,,
,,,evc1HAuSWqyJ8NpWqLVv,,,,,,fr,Estrie,Le Haut-Saint-François,Cookshire Eaton,,,,Quebec,Canada,2021-06-17,TRUE,,,,,,,,,,,,
,,,wny8J5o5hpeQbDkru777,,,,,,fr,Chaudière-Appalaches,Les Appalaches,Saint-Julien,,,,Quebec,Canada,2021-06-21,TRUE,TRUE,TRUE,,,,,,,,,,
,,,OeIOBqsaLvIH3BxdEsGR,,,,,,fr,Bas-Saint-Laurent,Les Basques,Saint-Mathieu-De-Rioux,,,,Quebec,Canada,2021-06-21,TRUE,,,,,,,,,,,,
,,,JEeY3Z6yG28BHV1rYysc,,,,,,fr,Montréal,LÎle-Bizard - Sainte-Geneviève,L'Île-Bizard,,,,Quebec,Canada,2021-06-21,TRUE,,,,,,,,,,,,
,,,mf8g5ACA2O6bmFejy2pA,,,,,,fr,Chaudière-Appalaches,Lotbinière,Sainte-Croix,,,,Quebec,Canada,2021-06-21,TRUE,,,,,,,,,,,,
,,,ncNyWhDedrwAXLer0l5Y,,,,,,fr,Centre-du-Québec,Drummond,St Bonaventure,,,,Quebec,Canada,2021-06-21,TRUE,,,,,,,,,,,,
,,,8FI5fc3CF4ohjg5YffWT,,,,,,fr,Montérégie,Vaudreuil-Soulanges,Vaudreuil-Dorion,,,,Quebec,Canada,2021-06-21,TRUE,,,,,,,,,,,,
,,,ZfRFntWrU5zvo8gnz7ZJ,,,,,,fr,Gaspésie--Îles-de-la-Madeleine,La Côte-de-Gaspé,Gaspé,,,,Quebec,Canada,2021-06-21,,,,,,,,TRUE,,,,,
,,,GtPZk6spQYtjY78sM0lV,,,,,,fr,Lanaudière,D'Autray,Saint-Gabriel-De-Brandon,,,,Quebec,Canada,2021-06-22,TRUE,,,,,,,,,,,,
,,,bdtHzKBeb8ERLfMxjLz8,,,,,,fr,Bas-Saint-Laurent,La Matanie,Matane,,,,Quebec,Canada,2021-06-22,TRUE,,,,,,,,,,,,
,,,0gkqJVmUr5530wM5veQH,,,,,,fr,Lanaudière,Matawinie,Rawdon,,,,Quebec,Canada,2021-06-22,,,,,,TRUE,,,,,,,
,,,MtMpyxpYX2Xj4A7FeRfz,,,,,,fr,Chaudière-Appalaches,Lotbinière,Val-Alain,,,,Quebec,Canada,2021-06-23,TRUE,TRUE,TRUE,,,,,,,,,,
,,,SwdNg7F0jGxtuaUgZT2g,,,,,,fr,Capitale-Nationale,Portneuf,Deschambault,,,,Quebec,Canada,2021-06-23,TRUE,,,,,,,,,,,,
,,,iI2lDSjLdTKOO8UNJ9N8,,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montreal,,,,Quebec,Canada,2021-06-24,TRUE,,,,,,,,,,,,
,,,je9dgJZdalgZiH6SoiWl,,,,,,fr,Montérégie,Le Haut-Richelieu,Saint-Jean-Sur-Richelieu,,,,Quebec,Canada,2021-06-26,,,,,TRUE,,,,,,,,
,,,dZPI1Xi2U3UoyxyBkvZQ,,,,,,fr,Chaudière-Appalaches,Lévis,Lévis,,,,Quebec,Canada,2021-06-27,TRUE,,,,,,,,,,,,
,,,cZ3IpmynLuSjFxRvBpu0,,,,,,fr,Montérégie,Vaudreuil-Soulanges,Ndip,,,,Quebec,Canada,2021-06-28,,,,,TRUE,,,,,,,,
,,,1xlEsOckgJYsjulredV2,,,,,,fr,Outaouais,Papineau,Saint-André Avellin,,,,Quebec,Canada,2021-06-29,TRUE,,,,,,,,,,,,
,,,2DDejciERip0pPOdsQa5,,,,,,fr,Montréal,Montréal-Nord,Montreal,,,,Quebec,Canada,2021-06-29,,,,,TRUE,,,,,,,,
,,,lXTwBXZCccfVtkr55giP,,,,,,fr,Estrie,Coaticook,Coaticook,,,,Quebec,Canada,2021-06-29,,,TRUE,,,,,,,,,,
,,,JqGLHEsc1PhtJ6VCIpyi,,,,,,en,Estrie,Brome-Missisquoi,Brome,,,,Quebec,Canada,2021-06-30,,TRUE,,,,,,,,,,,
,,,5N1gAZSZ1aaRph5zt6Aq,,,,,,fr,Lanaudière,Matawinie,Saint-Côme,,,,Quebec,Canada,2021-06-30,,,,,,,TRUE,,,,,,
,,,pvjCVEnOlFdHDa1wV8xA,,,,,,fr,Chaudière-Appalaches,Lotbinière,St-Gilles,,,,Quebec,Canada,2021-06-30,,TRUE,,,,,,,,,,,
,,,Kh9Igmt2mVaHi8n28EBn,,,,,,fr,Chaudière-Appalaches,Lévis,Lévis,,,,Quebec,Canada,2021-07-01,TRUE,,,,,,,,,,,,
,,,ZMakQAZwbFWQsunqoGKq,,,,,,fr,Estrie,Le Haut-Saint-François,Sawyerville,,,,Quebec,Canada,2021-07-01,TRUE,,TRUE,TRUE,,,,,,,,,
,,,IjlNMo7cX1SBBTqtbg5H,,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,Jonquière,,,,Quebec,Canada,2021-07-02,TRUE,,,,,,,,,,,,
,,,LV75Nn8pPuq7JkpaUBDY,,,,,,fr,Outaouais,Papineau,Notre-Dame-De-La-Paix,,,,Quebec,Canada,2021-07-02,TRUE,,,,,,,,,,,,
,,,bVc9PBIPBgcmQa2CiOUJ,,,,,,fr,Lanaudière,Les Moulins,Terrebonne,,,,Quebec,Canada,2021-07-02,TRUE,,,,,,,,,,,,
,,,5aC85XLiAsOUK6NnI5Vb,,,,,,fr,Chaudière-Appalaches,Lotbinière,Val-Alain,,,,Quebec,Canada,2021-07-03,TRUE,,,,,,,,,,,,
,,,dd2ngU3Fqbqudqluf8Xw,,,,,,fr,Estrie,Les Sources,Saint-Camille,,,,Quebec,Canada,2021-07-03,TRUE,,,,,,,,,,,,
,,,JEmQas9zmifmzQkfVxZr,,,,,,en,Estrie,Memphrémagog,Ogden,,,,Quebec,Canada,2021-07-03,TRUE,,,,,,,,,,,,
,,,cFGkFsJnkNhTDDgkue4x,,,,,,fr,Estrie,La Haute-Yamaska,Sainte-Cécile-De-Milton,,,,Quebec,Canada,2021-07-05,TRUE,,,,,,,,,,,,
,,,0WqGvt0kzBsa0XPVArMB,,,,,,fr,Estrie,Memphrémagog,Eastman,,,,Quebec,Canada,2021-07-08,,,TRUE,,TRUE,,,,,,,,
,,,mHBtHIMcDSA9y8RjTNM3,,,,,,fr,Abitibi-Témiscamingue,,Dupuy,,,,Quebec,Canada,2021-07-10,,TRUE,,,,,,,,,,,
,,,V3UVM2BlXnu6mqIKIX2n,,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2021-07-14,,,TRUE,,,,,,,,,,
,,,10daeLNvgYXmLZRpWBqa,,,,,,fr,Montérégie,Brome-Missisquoi,Pike River,,,,Quebec,Canada,2021-07-21,TRUE,,,,,,,,,,,,
,,,fe5njlFrbHQvz16cE6z6,,,,,,fr,Laurentides,Deux-Montagnes,Oka,,,,Quebec,Canada,2021-07-26,TRUE,,,,,,,,,,,,
,,,d0Kn2zZaEeQnEZ6BJ6xo,,,,,,fr,Estrie,Brome-Missisquoi,Dunham,,,,Quebec,Canada,2021-07-27,TRUE,,TRUE,,,,,,,,,,
,,,dbgU98BRrGrli0FS1eVR,,,,,,fr,Montréal,Ahuntsic-Cartierville,Montreal,,,,Quebec,Canada,2021-07-27,TRUE,,TRUE,,,,,,,,,,
,,,GzJU6FJ0rrlPSBpRbB6k,,,,,,fr,Côte-Nord,Manicouagan,Pointe-Aux-Outardes,,,,Quebec,Canada,2021-07-27,TRUE,,,,,,,,,,,,
,,,JRucxufc8rT041AdUoqM,,,,,,fr,Lanaudière,Montcalm,Saint-Liguori,,,,Quebec,Canada,2021-07-28,TRUE,,,,,,,,,,,,
,,,bconEVNM3XYmIY8UTpCU,,,,,,fr,Lanaudière,Montcalm,Saint-Jacques,,,,Quebec,Canada,2021-07-29,TRUE,,,,,,,,,,,,
,,,m90yCHxJRpdfQgI30EwX,,,,,,fr,Lanaudière,Montcalm,Saint-Jacques,,,,Quebec,Canada,2021-07-29,TRUE,,,,,,,,,,,,
,,,zkFrXrFqYVeMhSxcc2pt,,,,,,fr,Montérégie,Le Haut-Saint-Laurent,Huntingdon,,,,Quebec,Canada,2021-07-29,,TRUE,TRUE,,,,,,,,,,
,,,PF4yV3KEBvlc4LA4ejfG,,,,,,en,Laurentides,Les Laurentides,Saint-Faustin-Lac-Carré,,,,Quebec,Canada,2021-07-30,TRUE,,,,,,,,,,,,
,,,gpviXL6xRNyv04OH0M9n,,,,,,fr,Lanaudière,Matawinie,Rawdon,,,,Quebec,Canada,2021-07-30,TRUE,,,,,,,,,,,,
,,,RXqTjytuKctUaEW3Vd1E,,,,,,fr,Laurentides,Les Laurentides,Labelle,,,,Quebec,Canada,2021-07-30,,,TRUE,,,,TRUE,,,,,,
,,,UFE7DqFoZw4AjGBTvK5l,,,,,,fr,Estrie,Les Sources,Saint-Adrien,,,,Quebec,Canada,2021-07-30,,TRUE,TRUE,TRUE,,,,,,,,,
,,,YzUhZNueE5ykrJwA8jsF,,,,,,fr,Capitale-Nationale,Québec,Québec,,,,Quebec,Canada,2021-07-31,,TRUE,,,,,,,,,,,
,,,9jDg6mtBDSLyRqX2mR8z,,,,,,fr,Montérégie,Les Jardins-de-Napierville,St-Jacques-Le-Mineur,,,,Quebec,Canada,2021-08-01,TRUE,,,TRUE,,,,,,,,,
,,,Sira3NDn2bZ9r6cshdHK,,,,,,fr,Montérégie,Le Haut-Saint-Laurent,Franklin,,,,Quebec,Canada,2021-08-01,TRUE,,,,,,,,,,,,
,,,2aCxGZqeVxkSUPZwClPf,,,,,,fr,Chaudière-Appalaches,Montmagny,Sainte-Lucei-De-Beauregard,,,,Quebec,Canada,2021-08-01,,,,TRUE,,,,,,,,,
,,,oSUJzbDjXBdlOsFsBeji,,,,,,fr,Bas-Saint-Laurent,Témiscouata,Lejeune,,,,Quebec,Canada,2021-08-02,TRUE,,,,,,,,,,,,
