,,,unique_id,,org_cat,,,,,lang,region,sous-region,city,,,,province,country,timestamp_creation
,,,L9P0NzxYg9aimDwGk376,,consumer,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,Jonquiere,,,,Quebec,Canada,2022-08-09
,,,69soiKtrq28LPnTBoGPb,,consumer,,,,,fr,Montréal,Outremont,Montréal,,,,Quebec,Canada,2022-08-11
,,,9IA6ugoi3UON3JsEPhBP,,consumer,,,,,fr,Montréal,Le Sud-Ouest,Montreal,,,,Quebec,Canada,2022-08-12
,,,MiUDSiR25v2eupzyNrXM,,consumer,,,,,en,Montréal,Côte-des-Neiges - Notre-Dame-de-Grâce,Montreal,,,,Quebec,Canada,2022-08-16
,,,P4EIejBhe26cA7xCvh71,,consumer,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2022-08-16
,,,QpBLmzuvXuiv2S9u7czE,,consumer,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,LaBaie,,,,Quebec,Canada,2022-08-17
,,,rIBOMqIywTsxXY71YYxa,,consumer,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montreal,,,,Quebec,Canada,2022-08-17
,,,bjz0rLO4gsdwTyL5RSv3,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Dunham,,,,Quebec,Canada,2022-08-21
,,,IY5iNXwx9Ge6VvKKPzUr,,consumer,,,,,fr,Montérégie,Marguerite-D'Youville,Varennes,,,,Quebec,Canada,2022-08-22
,,,RrlRDE9Qv9U959FxTDF6,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Frelighsburg,,,,Quebec,Canada,2022-08-22
,,,afATU6lAvdgNUcBTUuRC,,consumer,,,,,fr,Saguenay--Lac-Saint-Jean,Saguenay,Chicoutimi,,,,Quebec,Canada,2022-08-24
,,,TqtusYGPrC8zmRraHpCj,,consumer,,,,,en,Montréal,Côte-des-Neiges - Notre-Dame-de-Grâce,Montreal,,,,Quebec,Canada,2022-09-01
,,,WL2dqyC7LtE6DTXCGmKz,,consumer,,,,,fr,Laurentides,La Rivière-du-Nord,Prévost,,,,Quebec,Canada,2022-09-01
,,,llAAcB2YqhXUGABX1HJm,,consumer,,,,,fr,Montérégie,Le Haut-Richelieu,Saint-Jean-sur-Richelieu,,,,Quebec,Canada,2022-09-05
,,,5Q5RrbmyGqI2LVEbHujK,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Knowlton,,,,Quebec,Canada,2022-09-06
,,,KvTIuooKDMHd9cOne6va,,consumer,,,,,en,Montréal,Villeray - Saint-Michel - Parc-Extension,Montreal,,,,Quebec,Canada,2022-09-07
,,,3BUX2bepHH9diVfVkb4o,,consumer,,,,,fr,Lanaudière,Les Moulins,Terrebonne,,,,Quebec,Canada,2022-09-09
,,,Fu1TQb45iGXag1m6nnn4,,consumer,,,,,fr,Montréal,Villeray - Saint-Michel - Parc-Extension,Montreal,,,,Quebec,Canada,2022-09-09
,,,2EOIGyVngG0SBJkVWq42,,consumer,,,,,en,Montréal,Le Plateau-Mont-Royal,Montéal,,,,Quebec,Canada,2022-09-10
,,,bcmWARarxZpr3FD0GDzL,,consumer,,,,,fr,Capitale-Nationale,Québec,Québec,,,,Quebec,Canada,2022-09-14
,,,jYcTEMrtsHg9pdGeEdUT,,consumer,,,,,fr,Capitale-Nationale,Québec,québec,,,,Quebec,Canada,2022-09-15
,,,AjLONoPAJj4drQWFc4wk,,consumer,,,,,fr,Capitale-Nationale,Québec,Québec,,,,Quebec,Canada,2022-09-17
,,,A4HXmdqyeYIhiEXydUKb,,consumer,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2022-09-21
,,,TDX80BJp01T9Q62oEXLP,,consumer,,,,,en,Laval,Laval,Laval,,,,Quebec,Canada,2022-09-21
,,,XIOze9BsJ6hcWT36Q5Xk,,consumer,,,,,fr,Estrie,Sherbrooke,Sherbrooke,,,,Quebec,Canada,2022-09-23
,,,wYnWfqjk1CYlDjd9UFxz,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Lac-Brome,,,,Quebec,Canada,2022-09-23
,,,wBraPTs23jlo9E0uBYUr,,consumer,,,,,fr,Estrie,Memphrémagog,Magog,,,,Quebec,Canada,2022-09-24
,,,G9dHyLpAYWrFaHITJSVV,,consumer,,,,,fr,Estrie,Sherbrooke,Sherbrooke,,,,Quebec,Canada,2022-09-25
,,,6Mx56LQvPeu0UiXkiUah,,consumer,,,,,fr,Laval,Laval,LAVAL,,,,Quebec,Canada,2022-09-27
,,,y1v4JpyXoaK3cEkNggYi,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-09-27
,,,AtY4CPaBsuz5pIP7gYpD,,consumer,,,,,fr,Montérégie,Longueuil,St-Bruno,,,,Quebec,Canada,2022-10-01
,,,1XPOi7J4GefEmIOhxLzA,,consumer,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montreal,,,,Quebec,Canada,2022-10-03
,,,UptJCPL5s2XmwotvQwLn,,consumer,,,,,fr,Montérégie,Longueuil,Boucherville,,,,Quebec,Canada,2022-10-03
,,,TSSvMa8vdWZZ4h2ai8zo,,consumer,,,,,fr,Montréal,Le Sud-Ouest,montreal,,,,Quebec,Canada,2022-10-04
,,,a21JgAmTK54foABHaIcW,,consumer,,,,,fr,Montréal,Verdun,Verdun,,,,Quebec,Canada,2022-10-04
,,,gc8HoMG77FSZlOnCwavF,,consumer,,,,,fr,Montréal,Villeray - Saint-Michel - Parc-Extension,Montreal,,,,Quebec,Canada,2022-10-04
,,,zKllvXI4Zg8mhQLGmVSf,,consumer,,,,,fr,Lanaudière,Les Moulins,TErrebonne,,,,Quebec,Canada,2022-10-04
,,,4FRSwnJQYcfqMywNSNNr,,consumer,,,,,fr,Lanaudière,Montcalm,Saint-Lin-Laurentides,,,,Quebec,Canada,2022-10-05
,,,hOwyXxskcfqgzbBkTUIg,,consumer,,,,,fr,Montérégie,Longueuil,Saint-Hubert,,,,Quebec,Canada,2022-10-05
,,,3XhXGQASQj0ttIB9cdCm,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-10-12
,,,GF7qudXUelzFcyo0fKKr,,consumer,,,,,fr,Montérégie,Longueuil,Saint-Hubert,,,,Quebec,Canada,2022-10-12
,,,LbTUnCiXHXt4lhVMkmDn,,consumer,,,,,en,Montréal,Mont-Royal,Mont-Royal,,,,Quebec,Canada,2022-10-12
,,,NVVxtIGciQ91aFFe2tqP,,consumer,,,,,fr,Lanaudière,Les Moulins,Terrebonne,,,,Quebec,Canada,2022-10-12
,,,gaNuXjaMJjaUPP5G9aP2,,consumer,,,,,fr,Laurentides,Thérèse-De Blainville,St Therese,,,,Quebec,Canada,2022-10-12
,,,wHNt5lDQ0HMPsRKQLSzi,,consumer,,,,,fr,Montréal,Mercier - Hochelaga-Maisonneuve,Montréal,,,,Quebec,Canada,2022-10-12
,,,Y6yE9ptOLqMg2TreBjgD,,consumer,,,,,fr,Laval,Laval,Laval,,,,Quebec,Canada,2022-10-14
,,,9x1cOdtIUAcTOIyrp577,,consumer,,,,,fr,Montréal,Le Sud-Ouest,Montréal,,,,Quebec,Canada,2022-10-15
,,,O3v6pAXvl7kCYGfE4NiI,,consumer,,,,,fr,Montréal,Villeray - Saint-Michel - Parc-Extension,Mtl,,,,Quebec,Canada,2022-10-15
,,,UZVUACAJwSXtUg7oMSv9,,consumer,,,,,fr,Montérégie,Longueuil,Saint-Lambert,,,,Quebec,Canada,2022-10-17
,,,7u8m3ffn6lIx3I13xdBx,,consumer,,,,,fr,Estrie,Brome-Missisquoi,Dunha,,,,Quebec,Canada,2022-10-18
,,,7SM9rdjxy2lpdW9GOy1n,,consumer,,,,,fr,Montréal,Verdun,Verdun,,,,Quebec,Canada,2022-10-19
,,,n1K5jpWGlHjB8gb864c8,,consumer,,,,,fr,Laurentides,Thérèse-De Blainville,Blainville,,,,Quebec,Canada,2022-10-19
,,,dK3vRGsI50NN3dNRoPrr,,consumer,,,,,fr,Estrie,Memphrémagog,Bolton Est,,,,Quebec,Canada,2022-10-20
,,,nk270xxhf2kLu5hkXQZb,,consumer,,,,,fr,Capitale-Nationale,Québec,quebec,,,,Quebec,Canada,2022-10-20
,,,Zg6wCvkkxQJmCADFUDX7,,consumer,,,,,fr,Montréal,Verdun,Montreal,,,,Quebec,Canada,2022-10-25
,,,oYHPstQl9aB5VDFTY5FC,,consumer,,,,,en,Montréal,Villeray - Saint-Michel - Parc-Extension,Montréal,,,,Quebec,Canada,2022-10-25
,,,W33qlUSGM1n7YUpImkDN,,consumer,,,,,fr,Montréal,Verdun,Verdun,,,,Quebec,Canada,2022-10-30
,,,GbJHmd8oJoUotPXd8fCU,,consumer,,,,,fr,Montréal,Le Plateau-Mont-Royal,Montréal,,,,Quebec,Canada,2022-10-31
,,,mgliPJRqBrfBbdR0FZtk,,consumer,,,,,fr,Montréal,Rosemont - La Petite-Patrie,Montréal,,,,Quebec,Canada,2022-10-31
,,,vALDXrOgWD1wvFXfbgCb,,consumer,,,,,fr,Montérégie,Rouville,Saint-Mathias sur Richelieu,,,,Quebec,Canada,2022-11-07
