Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
iGYp4KW8gmHgdIvKYNYs,PO-000023,2024-06-17,2021-10-20,,,5,"326,9","326,9",completed,delivery,2021-10-07,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
xkvwssEORSqVWOZucHLx,PO-000024,2024-06-17,2021-10-20,,,6,"62,95","62,95",completed,delivery,2021-10-07,10,,De0LQFAAw6JiFjMTbVuV,,bzhP3T3xLsB5H7t27eXc,,,,FALSE
fKmii02vLD3texfaqanU,PO-000025,2024-06-17,2021-10-26,,,10,"118,2","118,2",completed,delivery,2021-10-14,10,,De0LQFAAw6JiFjMTbVuV,,bzhP3T3xLsB5H7t27eXc,,,,FALSE
CPphenBRClD5nbLD5gHY,PO-000001,2024-06-17,2021-10-27,,,1,96,96,completed,delivery,2021-10-22,0,,ZFRnYgmidK0jTd2lXwW9,,cEuE0YOEKcVpm79Rsxk3,,,,FALSE
nWPCLrARPOG506kbHcsL,PO-000026,2024-06-17,2021-10-27,,,5,"324,85","324,85",completed,delivery,2021-10-14,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
QOJ0zxUFLg9EaGFpEAZY,PO-000001,2024-10-09,2021-11-05,,,1,210,210,completed,delivery,2021-11-02,10,,EvopGzbcNDsA0fZOMopq,,Qu3KoUaTnt3VdQ999iri,,,,FALSE
GubOdygcxQ7QrIEzn5YL,PO-000003,2024-06-17,2021-11-07,,,1,60,60,completed,delivery,2021-10-09,0,,ND021xr8L4qkAQUSIYKx,,bh84nWsl3E2DxVn6raBO,,,,FALSE
SI6ymPG56RHnrPExhJQy,PO-000027,2024-06-17,2021-11-09,,,4,267,267,completed,delivery,2021-10-29,,,De0LQFAAw6JiFjMTbVuV,,kPR5gdiIWhU83HolpuPz,,,,FALSE
kG6kpwY8RM36ewPvLzZ9,PO-000029,2024-06-17,2021-11-16,,,9,"155,1","155,1",completed,delivery,2021-11-05,10,,De0LQFAAw6JiFjMTbVuV,,G58WhpsgYj8zGM0iqGlK,,,,FALSE
3mWqhlluqrlU3mxu34hR,PO-000004,2024-06-17,2021-11-24,,,3,168,168,completed,delivery,2021-10-27,0,,ND021xr8L4qkAQUSIYKx,,01vvuU5DBHzljemulhPS,,,,FALSE
