Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
QTnfwdHEfRmicjSqy8Rb,PO-000018,2024-06-17,2021-07-06,,,1,90,90,completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,7zcg4MdiFWvjvKpzfMKH,,,,FALSE
baGkQiSXxoM0y8h0KIQE,PO-000011,2024-06-17,2021-07-09,,,1,66,66,completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,1xqK3yfuYjdPMMkmwnyn,,,,FALSE
kTMNw08otwEu825xQ5Zd,PO-000009,2024-06-17,2021-06-21,,,1,300,300,completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,bh84nWsl3E2DxVn6raBO,,,,FALSE
oIewsfZLHiFy9gRe5JmK,PO-000013,2024-06-17,2021-07-06,,,1,150,150,completed,delivery,2021-06-22,,,4NK5HrGBRsSOuU6DBpXX,,,,,,FALSE
3fPwVefOgKVwSIrTOLO4,PO-000012,2024-06-17,2021-07-06,,,7,253,253,completed,delivery,2021-06-23,,,96WfyBWlY4LIxh97AbYd,,bh84nWsl3E2DxVn6raBO,,,,FALSE
VesfF2sDXQqx6WAaW4FQ,PO-000015,2024-06-17,2021-07-07,,,1,90,90,completed,delivery,2021-06-23,,,96WfyBWlY4LIxh97AbYd,,JKXrQf8wkne5oUNmB4Z4,,,,FALSE
dliekadZeHatU5NvexaE,PO-000013,2024-06-17,2021-07-21,,,4,570,570,completed,delivery,2021-06-23,,,96WfyBWlY4LIxh97AbYd,,dDowduNTLpBMVTs1t8SN,,,,FALSE
lhinuy0UbxH9q0mdtnFV,PO-000014,2024-06-17,2021-07-22,,,5,206,206,completed,delivery,2021-06-23,,,96WfyBWlY4LIxh97AbYd,,,,,,FALSE
0AnBWXUfXnCTRCA6Thpb,PO-000003,2024-06-17,2021-07-21,,,3,126,126,completed,delivery,2021-06-24,10,,2fnE1XiuRG39yBo7yB9S,,sTcEoGugl7Sqn0kYqSAZ,,,,FALSE
7tTy5m26s4pGDPtHCwhm,PO-000005,2024-06-17,2021-07-21,,,7,237,237,completed,delivery,2021-06-24,,,2fnE1XiuRG39yBo7yB9S,,K8CnpBgvBdcsNzKsocDp,,,,FALSE
8JMYWBeMWQkK6hMgikhT,PO-000004,2024-06-17,2021-06-21,,,7,"298,06","298,06",completed,delivery,2021-06-24,,,2fnE1XiuRG39yBo7yB9S,,,,,,FALSE
Mc7gdxMsuTuJW2cVyPDx,PO-000008,2024-06-17,2021-07-22,,,9,"163,75","163,75",completed,delivery,2021-06-24,,,2fnE1XiuRG39yBo7yB9S,,9NjpBTaghK5cWph9I1IC,,,,FALSE
