Id,Number,Timestamp,Due date,,,Uniq items ordered,Amount excluding taxes (CAD),Amount including taxes (CAD),Status,Distribution mode,Delivery date,Delivery fees (CAD),Distance to pickup (km),Vendor organization id,,Buyer organization id,,Creator organization id,,Creator logged in
C54kulEDzqChk8TWcGVf,PO-000002,2024-06-17,2021-10-19,,,1,132,132,cancelledByCustomer,delivery,2021-10-07,0,,BRaPGSah16nZ70FOSgPv,,bh84nWsl3E2DxVn6raBO,,,,FALSE
CX6EYGp6X4qUeSokqZyb,PO220928-2416,2024-06-17,2022-10-28,,,1,60,60,cancelledByVendor,delivery,2022-09-30,0,,WcFItrYB1u7l8TbljPxx,,1PfLddMfX9LrnyjEoTJi,,WcFItrYB1u7l8TbljPxx,,TRUE
Cin3y5qypv1aozLc1Ern,230707-3784,2024-06-17,2023-07-14,,,5,171,171,cancelledByVendor,delivery,2023-07-12,0,,OosAh6jwi62Cd5fvEZ8V,,pif4MhdMTcndgQuRtgvt,,pif4MhdMTcndgQuRtgvt,,TRUE
DI8L7XcapO21ZrHGBaST,PO220801-5224,2024-06-17,2022-08-16,,,5,"141,5","141,5",cancelledByVendor,delivery,2022-08-03,15,,5bfmJqpmAAHRFyEckXDP,,k7WDX6esUeJQsSLLYZXd,,k7WDX6esUeJQsSLLYZXd,,TRUE
DJHDNOzD1VUf1Ajlgqy6,PO231218-9904,2024-06-17,2024-01-01,,,1,270,270,cancelledByVendor,pickup,2023-12-24,,,5SbYMzADNTSypp3CHqdt,,TgnMntaXQmST6m6EYIvt,,TgnMntaXQmST6m6EYIvt,,TRUE
DUZ0wDNm9PLF7OVmL91a,PO230525-1264,2024-06-17,2023-06-09,,,2,230,230,cancelledByVendor,delivery,2023-05-26,,,KYlrIrQiq3F7kE7OViVn,,erNgwjdZmz6R4uJu2DZR,,erNgwjdZmz6R4uJu2DZR,,TRUE
DXmHGOIychcCmzvpqheE,PO-000001,2024-06-17,2022-02-12,,,1,80,80,cancelledByCustomer,delivery,2022-02-02,0,,GyCLmySQhyIAyVAWAYxw,,XXFYWimSEqlKQ10nKlBg,,,,FALSE
DjUCGt5sR6au4QOXi4M1,PO230213-9360,2024-06-17,2023-02-28,,,2,101,101,cancelledByCustomer,delivery,2023-02-15,,,96WfyBWlY4LIxh97AbYd,,01vvuU5DBHzljemulhPS,,01vvuU5DBHzljemulhPS,,TRUE
DqD4Feld90vSEzFoObIu,PO221031-7504,2024-06-17,2022-11-15,,,11,"163,5","163,5",cancelledByVendor,delivery,2022-11-02,15,,5bfmJqpmAAHRFyEckXDP,,G58WhpsgYj8zGM0iqGlK,,G58WhpsgYj8zGM0iqGlK,,TRUE
E16y28JrGzTRR20m5QVA,PO-000009,2024-06-17,2021-09-28,,,1,20,20,cancelledByVendor,delivery,2021-09-16,0,,b9BfyQpyz5fxTBbguFU8,,,,,,FALSE
E54CGMNtzHGl7MGRTXVn,PO230704-9920,2024-06-17,2023-07-19,,,4,"20,5","20,5",cancelledByVendor,pickup,2023-07-07,,,9RMSz3WXxOJBhcHJsiq0,,vdydZmV6qUumX97s8X0O,,vdydZmV6qUumX97s8X0O,,TRUE
EMaV81nbWVwHi6oPqhns,240508-2536,2024-06-17,2024-05-23,,,5,"233,4","233,4",cancelledByVendor,delivery,2024-05-10,20,,OosAh6jwi62Cd5fvEZ8V,,,,,,FALSE
GgrijI7dO9VpYEyyVdME,PO230612-1136,2024-06-17,2023-06-26,,,4,"10,35","10,35",cancelledByVendor,pickup,2023-06-16,,,5SbYMzADNTSypp3CHqdt,,0uqFctGwUvXJM3MR0zf0,,0uqFctGwUvXJM3MR0zf0,,TRUE
